"BehaviorSpace results (NetLogo 6.0)"
"language_NL6.nlogo"
"grid_mu_theta"
"02/15/2017 22:42:57:979 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","memory-impedance","wandering-radius","initial-voc-variability","population-size","wandering-type","#-random-mutations","output-print?","geo-setup-type","understanding-threshold","semantic-size","dump-voc?","lang-setup-type","[step]","count turtles","max-network-modularity"
"1","1","0","0","100","""random""","0.05","false","""uniform""","0.05","20","true","""random""","10000","197","0.45781249999999996"
"3","1","0","0","100","""random""","0.05","false","""uniform""","0.15","20","true","""random""","10000","193","0.5123456790123456"
"2","1","0","0","100","""random""","0.05","false","""uniform""","0.1","20","true","""random""","10000","193","0.4003060484845231"
"6","1","0","0","100","""random""","0.1","false","""uniform""","0.15","20","true","""random""","10000","244","0.36566464821222605"
"4","1","0","0","100","""random""","0.1","false","""uniform""","0.05","20","true","""random""","10000","292","0.45514417942328234"
"5","1","0","0","100","""random""","0.1","false","""uniform""","0.1","20","true","""random""","10000","280","0.526626275510204"
"8","1","0","0","100","""random""","0.15","false","""uniform""","0.1","20","true","""random""","10000","422","0.5051652892561983"
"7","1","0","0","100","""random""","0.15","false","""uniform""","0.05","20","true","""random""","10000","445","0.4349112426035503"
"9","1","0","0","100","""random""","0.15","false","""uniform""","0.15","20","true","""random""","10000","404","0.5278125"
"10","1","0","0","100","""random""","0.2","false","""uniform""","0.05","20","true","""random""","10000","574","0.545"
"12","1","0","0","100","""random""","0.2","false","""uniform""","0.15","20","true","""random""","10000","543","0.48362307886117406"
"11","1","0","0","100","""random""","0.2","false","""uniform""","0.1","20","true","""random""","10000","561","0.5554016620498614"
"14","1","0","0","100","""random""","0.25","false","""uniform""","0.1","20","true","""random""","10000","639","0.5297962322183776"
"15","1","0","0","100","""random""","0.25","false","""uniform""","0.15","20","true","""random""","10000","603","0.5817965496728138"
"13","1","0","0","100","""random""","0.25","false","""uniform""","0.05","20","true","""random""","10000","765","0.5554166666666667"
"16","1","0","0","100","""random""","0.3","false","""uniform""","0.05","20","true","""random""","10000","890","0.5399338374291115"
"17","1","0","0","100","""random""","0.3","false","""uniform""","0.1","20","true","""random""","10000","841","0.6430612244897959"
"18","1","0","0","100","""random""","0.3","false","""uniform""","0.15","20","true","""random""","10000","874","0.5470235400633772"
