Source;Target;Weight
40;74;1
40;64;1
84;62;1
57;41;1
75;41;1
38;94;1
38;41;1
70;74;1
59;86;1
46;105;1
45;65;1
18;41;1
89;61;1
108;62;1
108;41;1
106;41;1
81;62;1
81;41;1
17;92;1
23;61;1
94;41;1
57;68;0.9992137039
57;67;0.9992137039
57;61;0.9992137039
81;61;0.9992137039
70;26;0.9839087184
57;94;0.9817300485
75;106;0.9817300485
70;64;0.9817300485
45;19;0.9817300485
18;94;0.9817300485
74;64;0.9817300485
108;64;0.9817300485
108;94;0.9817300485
81;64;0.9817300485
81;94;0.9817300485
57;89;0.9809437524
97;106;0.9809437524
28;41;0.9786264575
63;48;0.9786264575
63;62;0.9786264575
63;41;0.9786264575
96;41;0.9786264575
56;62;0.9786264575
56;41;0.9786264575
102;53;0.9782746236
63;79;0.9778401614
56;61;0.9778401614
57;33;0.97597667
40;31;0.9755957392
38;31;0.9755957392
108;31;0.9755957392
81;31;0.9755957392
39;99;0.9734117035
87;105;0.9732513294
82;62;0.9732513294
82;41;0.9732513294
39;67;0.9708409916
110;62;0.9708409916
70;105;0.9708409916
54;67;0.9708409916
108;67;0.9700546955
81;67;0.9700546955
91;41;0.9645224375
108;61;0.9637361414
28;94;0.960356506
63;33;0.960356506
63;94;0.960356506
96;94;0.960356506
56;94;0.960356506
40;83;0.9580018221
108;83;0.9580018221
46;74;0.9575934458
46;62;0.9575934458
46;41;0.9575934458
73;41;0.9575934458
108;79;0.957215526
63;49;0.9569010811
63;74;0.9556132411
63;83;0.9556132411
22;26;0.95474971
28;33;0.9546031274
28;61;0.9543297875
63;61;0.9543297875
38;48;0.9526142959
38;74;0.9526142959
38;64;0.9526142959
38;62;0.9526142959
36;92;0.9525710401
38;33;0.9522484435
63;81;0.9518777869
20;65;0.9517725291
63;72;0.9494674491
27;13;0.9491156152
18;67;0.9491156152
56;67;0.948681153
28;68;0.9483293191
80;67;0.9483293191
63;68;0.9483293191
38;67;0.9483293191
28;63;0.9468609173
40;87;0.9416819832
63;87;0.9416819832
18;61;0.9410120636
38;61;0.9402257675
94;61;0.9402257675
107;86;0.9397318706
46;64;0.9393234943
98;64;0.9382732359
28;89;0.9378448335
63;89;0.9378448335
63;64;0.9373432896
56;64;0.9373432896
54;47;0.9367710914
93;74;0.9365839267
93;62;0.9365839267
93;41;0.9365839267
20;86;0.9362764457
38;68;0.9354901496
38;89;0.9354901496
36;90;0.9353634291
60;64;0.9343443445
75;105;0.9327590894
48;105;0.9327590894
108;105;0.9327590894
107;30;0.9327345874
43;61;0.9327345874
32;65;0.9320711807
18;43;0.9312531515
28;48;0.9312407534
28;62;0.9312407534
