a1;a2;weight
73;41;0.8322768712700562
73;101;1.2469056764078983
73;68;0.6515109889740005
73;26;1.1885695008373267
73;17;1.0472547242041672
73;56;1.0227316937291246
73;24;1.009438147650133
73;63;0.8794254179083212
73;98;1.029541573001738
73;76;1.1777147682762297
73;78;1.3430614154212404
73;27;0.695829405683241
73;86;0.8892413752932861
73;31;1.1502369783638444
73;107;0.7152242658183788
73;47;0.623414899383062
73;14;1.4701892111727755
73;58;2.1958353440846947
73;59;0.868518163873009
73;32;1.0272665040711182
73;67;0.7865322277791642
73;102;1.2011439220742446
73;60;0.8402933258914052
73;37;0.8583895053039705
73;93;0.8425599858910138
73;84;1.0910468281461654
73;40;0.5790466710745548
73;42;1.3114112912970266
73;70;0.9146244137253121
73;33;0.4833197835879421
73;69;1.0105646263532975
73;57;0.7456676480968621
73;20;0.5598457349492467
73;88;1.4945818573314003
73;80;1.2826179356335334
73;23;1.0491085849430997
73;104;1.302542176546517
73;79;1.0871271982365425
73;100;1.6214141841291236
73;25;0.9527288404474334
73;44;1.7399532565890221
73;54;1.3435508280082789
73;48;0.8001159873476908
73;65;1.132270559945691
73;43;0.5076720041871369
73;83;1.2108687634334632
73;15;0.9121506034162115
73;85;1.0565128559907684
73;22;1.915196912033727
73;111;0.8077073680849027
73;81;0.8144831217832273
73;89;0.8979082548421518
73;35;0.791642807583669
73;45;1.1425358280994935
73;82;0.6996409813209126
73;77;0.8804614923812861
73;28;0.6643535462048358
73;74;0.851943642319983
73;62;0.42955868547570114
73;12;0.9075279253878807
73;87;2.1761186829615973
73;75;1.7653464518903135
73;72;0.6338968622059958
73;71;1.061200046147687
73;94;0.9480454545250794
73;18;1.8945503074544092
73;106;0.7004182971609879
73;95;1.0398680991026967
73;97;0.7040104325388652
73;39;0.40380383690562865
73;21;1.5211919578904987
73;52;1.621631673259007
73;92;1.4907722669780086
73;64;0.7470160613259978
73;103;1.4572108317677313
73;91;1.0328629408498469
73;38;0.740023022650819
73;19;1.0304048647934634
73;110;1.4191036359272116
73;46;1.770430763936858
73;105;0.8691762435011915
73;53;1.3571304718568413
73;36;1.1773619025890987
73;49;1.0503837277796912
73;50;0.9194720874337686
73;90;0.8952138015280562
73;29;0.9288674081571823
73;108;0.44362293833202243
73;96;0.8395673757052831
73;99;0.889037578152645
73;16;1.0447001738159483
73;30;1.2782002725853006
73;109;1.2479404490849233
73;51;1.4038475470435416
73;61;0.5584650787943374
73;34;1.3995782466212792
73;13;1.3713267145973538
73;66;1.561646968312304
73;55;0.7096918168582383
41;101;1.7572617200883378
41;68;0.8649006674872475
41;26;1.7309235658749402
41;17;1.2099108497995
41;56;1.338089940808922
41;24;0.9249177454706661
41;63;0.9134674988490068
41;98;1.4302746274129712
41;76;1.4050755388125185
41;78;1.2163278249611031
41;27;0.8269347724637509
41;86;1.0382595476526841
41;31;1.3636266568770914
41;107;1.2989633253632902
41;47;1.1998879997561827
41;14;1.3206834613696015
41;58;2.4368686750051207
41;59;1.4051721628197358
41;32;1.5769767938309518
41;67;0.659798637319027
41;102;1.5401298996675743
41;60;0.9206651397540007
41;37;1.2980620034529764
41;93;0.7437877890057542
41;84;1.87675208262282
41;40;0.795907183147363
41;42;1.7837616283794866
41;70;0.898826915760147
41;33;0.8893412696121146
41;69;1.0428283868117658
41;57;1.1091844507046722
41;20;1.2403964306569693
41;88;1.6450473970846138
41;80;1.6163537099303704
41;23;1.3464686365394132
41;104;1.8135776185550398
41;79;1.5170414641897392
41;100;1.4946805936689864
41;25;0.985041574969197
41;44;2.174419431448044
41;54;1.1452876050919367
41;48;1.2145216021430607
41;65;1.4000397712608676
41;43;0.6050924264204183
41;83;1.849062770242188
41;15;1.5026114767801964
41;85;1.8862645642367584
41;22;2.4102063132609026
41;111;1.3965165028584636
41;81;1.3851819667224654
41;89;0.8219082172999288
41;35;1.0988226872858
41;45;1.4232724329269255
41;82;1.2502827532585037
41;77;1.5202557469175473
41;28;0.7756968845605986
41;74;1.158292754779744
41;62;0.5296331608550995
41;12;1.0665257759274331
41;87;2.3970888306495306
41;75;1.728202998016962
41;72;1.2177537399734402
41;71;1.0447121609951644
41;94;1.3282974285470177
41;18;2.4544673437176723
41;106;1.2370722961077147
41;95;1.6104188841747293
41;97;0.5881912935702485
41;39;0.5450716529395532
41;21;1.8935802324001068
41;52;1.9427528384950639
41;92;2.014400634006181
41;64;1.1558929297376008
41;103;1.9239249594105796
41;91;0.8164945075293721
41;38;1.1727558353269263
41;19;1.2643237995965655
41;110;1.597778363815473
41;46;1.7774871547048121
41;105;1.1878208341745957
41;53;1.8003848567411451
41;36;1.647287513359764
41;49;0.8269347724637509
41;50;1.719954053198172
41;90;1.1727377546176208
41;29;1.4747341719108067
41;108;0.8120102091390998
41;96;1.284948002055825
41;99;0.8323065841860808
41;16;1.3040999952007821
41;30;1.7140502972259506
41;109;1.337281151585615
41;51;1.7276816168693052
41;61;0.6575197065475915
41;34;1.9650169261345658
41;13;1.8084196340479177
41;66;1.1109364059364903
41;55;0.5601860670550644
101;68;1.3546534711482794
101;26;1.3175349589912664
101;17;1.5957359644897375
101;56;1.5094109549383004
101;24;1.178368261169878
101;63;1.7381918900549567
101;98;1.0177014656114813
101;76;1.3068288079955408
101;78;1.0289694254620818
101;27;1.1176791316526407
101;86;0.975472774954812
101;31;1.2160861979025337
101;107;1.0056048929982522
101;47;1.4236327201705774
101;14;1.2408795097798602
101;58;2.1090640037219264
101;59;1.50912827703046
101;32;1.0364978259244628
101;67;1.0557635540665733
101;102;1.3496820736713047
101;60;1.2923972119254885
101;37;0.9900963356284831
101;93;0.9420130315382176
101;84;1.3361626651029388
101;40;1.0468225327763696
101;42;2.2008760580704276
101;70;1.6709809062813443
101;33;1.1864622657622212
101;69;1.6772719993538985
101;57;1.148821055766476
101;20;0.8508381406748541
101;88;1.454950761670786
101;80;1.318658899662151
101;23;1.62522574040633
101;104;1.6015525673818982
101;79;1.690530916523731
101;100;1.5827925974120123
101;25;1.2901051766757328
101;44;1.9281634748508356
