a1;a2;weight
45;64;0.9932606498173844
45;26;0.978647220821441
45;42;0.9897977554570512
45;69;1
45;37;1
45;47;0.9932606498173844
45;58;1
45;57;0.9897977554570512
45;51;0.9897977554570512
45;21;0.9918389696635975
45;48;0.9732781148970022
45;22;0.9914360380636085
45;23;1
45;65;0.9979992307893063
45;53;0.9878107041138949
45;50;0.9932606498173844
45;20;0.9977837872627308
45;54;0.9591409465952273
45;52;0.967037398022378
45;55;0.9878813301396249
45;30;0.9852633163845586
45;61;1
45;35;0.9949223607539897
45;43;1
45;41;0.9897977554570512
45;60;0.9995860676602403
45;67;0.9918389696635975
45;59;0.9886896943624313
45;29;0.9867621308143417
45;40;0.9949223607539897
45;27;0.9878107041138949
45;34;1
45;44;1
45;25;0.9995860676602403
45;56;0.9881508715729344
45;38;0.9756823545252068
45;24;0.9995860676602403
45;66;1
45;62;0.9934368072743022
45;39;0.9930489680324677
45;32;1
45;33;1
45;28;1
45;36;0.9855982527889734
45;68;0.9852633163845586
45;63;1
45;46;1
45;31;0.9916652376314592
45;49;0.9966155003882978
64;26;0.978647220821441
64;42;0.9897977554570512
64;69;1
64;37;1
64;47;1
64;58;1
64;57;0.9897977554570512
64;51;0.9897977554570512
64;21;0.9918389696635975
64;48;0.9800174650796178
64;22;0.9816153026903225
64;23;0.9844114938381963
64;65;0.9881784954160203
64;53;0.9878107041138949
64;50;1
64;20;0.9977837872627308
64;54;0.9493202112219413
64;52;0.9737767482049936
64;55;0.9878813301396249
64;30;0.9852633163845586
64;61;1
64;35;0.9949223607539897
64;43;1
64;41;0.9897977554570512
64;60;0.9995860676602403
64;67;0.9918389696635975
64;59;0.9886896943624313
64;29;0.9867621308143417
64;40;0.9949223607539897
64;27;0.9878107041138949
64;34;1
64;44;1
64;25;0.9995860676602403
64;56;0.9881508715729344
64;38;0.9678084730068117
64;24;0.9995860676602403
64;66;1
64;62;0.9934368072743022
64;39;0.9930489680324677
64;32;1
64;33;1
64;28;1
64;36;0.9855982527889734
64;68;0.9852633163845586
64;63;1
64;46;1
64;31;0.9916652376314592
64;49;0.9867947650150118
26;42;0.9761635334787394
26;69;0.9863657780216882
26;37;0.9863657780216882
26;47;0.9796264278390725
26;58;0.9863657780216882
26;57;0.9761635334787394
26;51;0.9761635334787394
26;21;0.9782047476852858
26;48;0.9596438929186905
26;22;0.9679810807120107
26;23;0.9707772718598845
26;65;0.9745442734377084
26;53;0.9741764821355832
26;50;0.9796264278390725
26;20;0.984149565284419
26;54;0.9356859892436296
26;52;0.9678049232550928
26;55;0.9878813301396249
26;30;0.9852633163845586
26;61;0.9863657780216882
26;35;0.9812881387756779
26;43;0.9863657780216882
26;41;0.9761635334787394
26;60;0.9859518456819285
26;67;0.9782047476852858
26;59;0.9886896943624313
26;29;0.97312790883603
26;40;0.9812881387756779
26;27;0.9741764821355832
26;34;0.9863657780216882
26;44;0.9863657780216882
26;25;0.9859518456819285
26;56;0.9745166495946226
26;38;0.9620481325468949
26;24;0.9859518456819285
26;66;0.9863657780216882
26;62;0.9798025852959904
26;39;0.9863657780216882
26;32;1
26;33;0.9863657780216882
26;28;0.9863657780216882
26;36;0.9863657780216882
