a1;a2;weight
21;47;0.9441035674780763
21;56;0.9699814018476747
21;57;0.9680379237005966
21;42;0.9487375985240636
21;50;0.9540677567529908
21;29;0.9540563755850248
21;24;0.9393104239491983
21;36;0.9619505691284536
21;30;0.9519108103008014
21;44;0.9640526676920852
21;58;0.9614293701116866
21;33;0.9670216242235629
21;27;0.9453219647367709
21;43;0.9803306872310648
21;23;0.9377151268877931
21;66;0.9259767342283474
21;54;0.9457041960668275
21;65;0.9516243446464804
21;38;0.9505842853323045
21;22;0.9497205658730388
21;49;0.9362452376715883
21;61;0.9542241500605928
21;28;0.9525947705965669
21;25;0.951409319308914
21;37;0.9576748720547017
21;60;0.983803203983504
21;51;0.9491837116927065
21;62;0.940970573215311
21;35;0.9630253853460644
21;53;0.9330145143399835
21;69;0.9235643056329026
21;32;0.9503934097851408
21;20;0.9806494412063127
21;45;0.9611357090522384
21;63;0.9472942713438753
21;67;0.9681831077353195
21;34;0.9529631612187865
21;59;0.9454882117757766
21;64;0.9363046494327816
21;52;0.9535462260725731
21;39;0.9681831077353195
21;46;0.9566723388401728
21;31;0.983803203983504
21;48;0.9624927747002084
21;40;0.9620957531631764
21;41;0.9541367352044728
21;55;0.957216563418636
21;26;0.9514368160106349
21;68;0.9512085747525526
47;56;0.9795000157976492
47;57;0.9775565376505713
47;42;0.962305428994789
47;50;0.9622438522477565
47;29;0.9676242060557502
47;24;0.9528782544199237
47;36;0.9714691830784281
47;30;0.9526787685307628
47;44;0.9776204981628106
47;58;0.9709138814752035
47;33;0.968441875198543
47;27;0.9588897952074963
47;43;0.9817509382060449
47;23;0.9448100290554979
47;66;0.9435228649278918
47;54;0.959272026537553
47;65;0.9651921751172058
47;38;0.9601028992822792
47;22;0.9463580840597658
47;49;0.9391010372369492
47;61;0.9637427640105674
47;28;0.9817509382060449
47;25;0.9649771497796394
47;37;0.9712427025254271
47;60;0.9932877153470209
47;51;0.962751542163432
47;62;0.9545384036860365
47;35;0.9603964198002938
47;53;0.9333971318547093
47;69;0.919719312511634
47;32;0.9639612402558662
47;20;0.9860847360490789
47;45;0.9659869863894084
47;63;0.9521455486810453
47;67;0.9817509382060449
47;34;0.9624817751687612
47;59;0.959056042246502
47;64;0.9584368932226474
47;52;0.9539288435872989
47;39;0.9817509382060449
47;46;0.9661909527901473
47;31;0.9932877153470209
47;48;0.9760606051709338
47;40;0.9756635836339018
47;41;0.9677045656751982
47;55;0.9707843938893614
47;26;0.9650046464813603
47;68;0.964776405223278
56;57;0.9760966427558834
56;42;0.950246851451739
56;50;0.9605290665702126
56;29;0.9555656285127002
56;24;0.9457717337664201
56;36;0.9700092881837402
56;30;0.9422215176237306
56;44;0.9655619206197606
56;58;0.9473185267911776
56;33;0.956383297655493
56;27;0.9445572292787168
56;43;0.9696923606629949
56;23;0.9309912237490153
56;66;0.9330013718377527
56;54;0.947213448994503
56;65;0.9531335975741558
56;38;0.9586430043875913
56;22;0.9433990956199891
56;49;0.9319945165834456
56;61;0.9669838872918317
56;28;0.9590560804137888
56;25;0.9506445838508599
56;37;0.9591841249823772
56;60;0.9696923606629949
56;51;0.950692964620382
56;62;0.9474318830325328
56;35;0.9589365249056059
56;53;0.9213385543116593
56;69;0.9118883456045784
56;32;0.9519026627128162
56;20;0.9777890821893671
56;45;0.9704343350473734
56;63;0.9565928973390103
56;67;0.9696923606629949
56;34;0.9610218802740733
56;59;0.9519495215929984
56;64;0.937813902360457
56;52;0.941870266044249
56;39;0.9696923606629949
56;46;0.9694320760714116
56;31;0.9869512215840814
56;48;0.9640020276278839
56;40;0.9636050060908519
56;41;0.9556459881321483
56;55;0.9587258163463115
56;26;0.9529460689383105
56;68;0.9527178276802281
57;42;0.9609445899163707
57;50;0.9561323893817679
57;29;0.9519266076583281
57;24;0.9371806560225017
57;36;0.9640152017572305
57;30;0.9341609461259204
57;44;0.9619228997653886
57;58;0.9436795059368055
57;33;0.952744276801121
57;27;0.9431921968100743
57;43;0.9660533398086228
57;23;0.9259689632583652
57;66;0.9238469663016509
57;54;0.9435744281401309
57;65;0.9494945767197838
57;38;0.948454517405608
57;22;0.9319707016981577
57;49;0.931958318020156
57;61;0.9520943821338962
57;28;0.9504650026698703
57;25;0.9492795513822174
57;37;0.9555451041280051
57;60;0.9660533398086228
57;51;0.9470539437660099
57;62;0.9388408052886144
57;35;0.9487480379236226
57;53;0.9176995334572873
57;69;0.9160125425589484
57;32;0.9454416357833054
57;20;0.9628995770314317
57;45;0.9591451762650575
57;63;0.9451645034171787
57;67;0.9660533398086228
57;34;0.9508333932920899
57;59;0.9475528444045537
57;64;0.9396748594130903
57;52;0.9382312451898769
57;39;0.9660533398086228
57;46;0.9545425709134762
57;31;0.9660533398086228
57;48;0.9603630067735118
57;40;0.9599659852364798
57;41;0.9427778730210172
57;55;0.9550867954919394
57;26;0.9493070480839383
57;68;0.9634155661448597
42;50;0.957252761949813
42;29;0.9691867260976105
42;24;0.954440774461784
42;36;0.9730317031202885
42;30;0.9427045114316472
42;44;0.9833134582479053
42;58;0.963289406809179
42;33;0.9700043952404034
42;27;0.9604523152493567
42;43;0.9833134582479053
42;23;0.9437907044876135
42;66;0.9323905316073776
42;54;0.9795758861088532
42;65;0.9667546951590662
42;38;0.9616654193241395
42;22;0.9505749734485018
42;49;0.9406635572788096
42;61;0.9613415755747741
42;28;0.9677251211091527
42;25;0.9665396698214999
42;37;0.9728052225672874
42;60;0.9833134582479053
42;51;0.9643140622052924
42;62;0.9561009237278968
42;35;0.9619589398421542
42;53;0.9349596518965697
42;69;0.9296398832327231
42;32;0.9655237602977266
42;20;0.9721467704723096
42;45;0.9676887415707843
42;63;0.9537080687229056
42;67;0.9833134582479053
42;34;0.9723469139312217
42;59;0.9606185622883624
42;64;0.9514349999453674
42;52;0.9554913636291592
42;39;0.9833134582479053
42;46;0.963789764354354
42;31;0.9833134582479053
42;48;0.9776231252127943
42;40;0.9772261036757621
42;41;0.9692670857170587
42;55;0.9723469139312217
42;26;0.9665671665232207
42;68;0.9806756845841421
50;29;0.9504931946365789
50;24;0.949558876082408
50;36;0.9585325722147305
50;30;0.9374839052124951
