a1;a2;weight
87;80;0
87;72;0.22528349836504669
87;68;0
87;54;0
87;30;0
87;37;0
87;51;0
87;106;0
87;18;0
87;82;0
87;94;0
87;41;0
87;12;0
87;98;0
87;24;0
87;16;0
87;103;0
87;110;0
87;22;0
87;46;0
87;105;0.23011556330042038
87;25;0
87;79;0.24416863983996742
87;32;0
87;83;0
87;76;0
87;15;0.09198188804741096
87;23;0
87;65;0.20509218952273603
87;20;0
87;61;0.13566866773990946
87;40;0
87;34;0
87;67;0.18526222302933573
87;101;0
87;85;0.26712119458712136
87;70;0
87;63;0.13566866773990946
87;56;0
87;42;0
87;19;0
87;64;0
87;102;0
87;104;0
87;91;0
87;50;0
87;109;0
87;62;0
87;84;0.31065509027475824
87;14;0
87;21;0
87;93;0
87;81;0.24858263266137778
87;96;0
87;57;0
87;13;0
87;48;0
87;49;0
87;31;0
87;88;0
87;97;0.37651446906685654
87;107;0
87;38;0.1986188793565916
87;92;0
87;44;0
87;45;0
87;89;0
87;39;0
87;75;0
87;43;0
87;108;0.11752695870151249
87;78;0
87;95;0
87;29;0
87;52;0
87;66;0
87;74;0
87;100;0
87;27;0
87;69;0
87;17;0
87;26;0
87;111;0.31065509027475824
87;77;0
87;58;0.2664843946200916
87;59;0
87;53;0
87;28;0
87;90;0
87;35;0
87;36;0
87;60;0.29611568200616084
87;55;0
87;33;0
87;47;0
87;86;0
87;71;0
87;73;0.3204526795264412
87;99;0
80;72;0.30902719443318954
80;68;0.08374369606814284
80;54;0.08374369606814284
80;30;0.08374369606814284
80;37;0.08374369606814284
80;51;0.08374369606814284
80;106;0.08374369606814284
80;18;0.08374369606814284
80;82;0.08374369606814284
80;94;0.08374369606814284
80;41;0.08374369606814284
80;12;0.08374369606814284
80;98;0.08374369606814284
80;24;0.08374369606814284
80;16;0.08374369606814284
80;103;0.08374369606814284
80;110;0.08374369606814284
80;22;0.08374369606814284
80;46;0.08374369606814284
80;105;0.31385925936856324
80;25;0.08374369606814284
80;79;0.32791233590811025
80;32;0.08374369606814284
80;83;0.08374369606814284
80;76;0.08374369606814284
80;15;0.1757255841155538
80;23;0.08374369606814284
80;65;0.28883588559087886
80;20;0.08374369606814284
80;61;0.2194123638080523
80;40;0.08374369606814284
80;34;0.08374369606814284
80;67;0.26900591909747856
80;101;0.08374369606814284
80;85;0.3508648906552642
80;70;0.08374369606814284
80;63;0.2194123638080523
80;56;0.08374369606814284
80;42;0.08374369606814284
80;19;0.08374369606814284
80;64;0.08374369606814284
80;102;0.08374369606814284
80;104;0.08374369606814284
80;91;0.08374369606814284
80;50;0.08374369606814284
80;109;0.08374369606814284
80;62;0.08374369606814284
80;84;0.3943987863429011
80;14;0.08374369606814284
80;21;0.08374369606814284
80;93;0
80;81;0.3323263287295206
80;96;0.08374369606814284
80;57;0.08374369606814284
80;13;0.08374369606814284
80;48;0.08374369606814284
80;49;0.08374369606814284
80;31;0.08374369606814284
