Source;Target;Weight
55;68;1
55;87;1
55;95;1
55;75;1
55;40;1
55;23;1
55;99;1
55;86;1
55;63;1
55;85;1
55;80;1
55;34;1
55;72;1
55;62;1
55;109;1
55;83;1
55;102;1
55;21;1
55;51;1
55;47;1
55;70;1
55;43;1
55;17;1
55;98;1
55;84;1
55;101;1
55;42;1
55;33;1
55;48;1
55;67;1
55;93;1
55;26;1
55;96;1
55;90;1
55;111;1
55;78;1
55;100;1
55;56;1
55;12;1
55;35;1
55;91;1
55;92;1
55;97;1
55;14;1
55;89;1
55;19;1
55;108;1
55;25;1
55;49;1
55;53;1
55;71;1
55;64;1
55;94;1
55;30;1
55;20;1
29;65;1
29;68;1
29;87;1
29;95;1
29;75;1
29;40;1
29;45;1
29;23;1
29;99;1
29;86;1
29;63;1
29;85;1
29;80;1
29;28;1
29;34;1
29;72;1
29;62;1
29;109;1
29;83;1
29;50;1
29;102;1
29;21;1
29;51;1
29;47;1
29;70;1
29;43;1
29;17;1
29;98;1
29;84;1
29;101;1
29;42;1
29;33;1
29;48;1
29;67;1
29;93;1
29;54;1
29;26;1
29;96;1
29;90;1
29;111;1
29;78;1
29;100;1
29;56;1
29;12;1
29;35;1
29;91;1
29;92;1
29;97;1
29;14;1
29;89;1
29;19;1
29;108;1
29;25;1
29;49;1
29;53;1
29;104;1
29;71;1
29;27;1
29;64;1
29;94;1
29;30;1
29;20;1
13;68;1
13;87;1
13;95;1
13;75;1
13;40;1
13;23;1
13;99;1
13;86;1
13;63;1
13;39;1
13;85;1
13;80;1
13;34;1
13;72;1
13;62;1
13;109;1
13;83;1
13;102;1
13;21;1
13;51;1
13;47;1
13;70;1
13;43;1
13;17;1
13;98;1
13;84;1
13;101;1
13;42;1
13;33;1
13;48;1
13;67;1
13;93;1
13;26;1
13;96;1
13;90;1
13;111;1
13;78;1
13;100;1
13;56;1
13;12;1
13;35;1
13;22;1
13;91;1
13;92;1
13;97;1
13;14;1
13;89;1
13;19;1
13;108;1
13;25;1
13;49;1
13;53;1
13;71;1
13;64;1
13;94;1
13;30;1
13;20;1
65;68;1
65;87;1
65;95;1
65;75;1
65;40;1
65;45;1
65;23;1
65;99;1
65;86;1
65;63;1
65;85;1
65;80;1
65;28;1
65;34;1
65;72;1
65;62;1
65;109;1
65;83;1
65;50;1
65;102;1
65;21;1
65;51;1
65;47;1
65;70;1
65;43;1
65;17;1
65;98;1
65;84;1
65;101;1
65;42;1
65;33;1
65;48;1
65;67;1
65;93;1
65;54;1
65;26;1
65;96;1
65;90;1
65;111;1
65;78;1
65;100;1
65;56;1
65;12;1
65;35;1
65;91;1
65;92;1
65;97;1
65;14;1
65;89;1
65;19;1
65;108;1
65;25;1
65;49;1
65;53;1
65;104;1
65;71;1
65;27;1
65;64;1
65;94;1
65;30;1
65;20;1
68;87;1
68;95;1
68;75;1
68;40;1
68;23;1
68;99;1
68;86;1
68;63;1
68;85;1
68;80;1
68;34;1
68;72;1
68;62;1
68;109;1
68;83;1
68;102;1
68;21;1
68;51;1
68;47;1
68;70;1
68;43;1
68;17;1
68;98;1
68;84;1
68;101;1
68;42;1
68;33;1
68;48;1
68;67;1
68;93;1
68;26;1
68;96;1
68;90;1
68;111;1
68;78;1
68;100;1
68;56;1
68;12;1
68;35;1
68;91;1
68;92;1
68;97;1
68;14;1
68;89;1
68;19;1
68;108;1
68;25;1
68;49;1
68;53;1
68;71;1
68;64;1
68;94;1
68;30;1
68;20;1
87;23;1
87;64;1
95;75;1
95;40;1
95;23;1
95;99;1
95;86;1
95;63;1
95;85;1
95;80;1
95;34;1
95;72;1
95;62;1
95;109;1
95;83;1
95;102;1
95;21;1
95;51;1
95;47;1
95;70;1
95;43;1
95;17;1
95;98;1
95;84;1
95;101;1
95;42;1
95;33;1
95;48;1
95;67;1
95;93;1
95;26;1
95;96;1
95;90;1
95;111;1
95;78;1
95;100;1
95;56;1
95;12;1
95;35;1
95;91;1
95;92;1
95;97;1
95;14;1
95;89;1
95;19;1
95;108;1
95;25;1
95;49;1
95;53;1
95;71;1
95;64;1
95;94;1
95;30;1
95;20;1
15;51;1
15;56;1
15;97;1
75;40;1
75;23;1
75;99;1
75;86;1
75;63;1
75;85;1
75;80;1
75;34;1
75;72;1
75;62;1
75;109;1
75;83;1
75;102;1
75;21;1
75;51;1
75;47;1
75;70;1
75;43;1
75;17;1
75;98;1
75;84;1
75;101;1
75;42;1
75;33;1
75;48;1
75;67;1
75;93;1
75;26;1
75;96;1
75;90;1
75;111;1
75;78;1
75;100;1
75;56;1
75;12;1
75;35;1
75;91;1
75;92;1
75;97;1
75;14;1
75;89;1
75;19;1
75;108;1
75;25;1
75;49;1
75;53;1
75;71;1
75;64;1
75;94;1
75;30;1
75;20;1
73;40;1
73;23;1
73;99;1
73;86;1
73;63;1
73;85;1
73;80;1
73;34;1
73;72;1
73;62;1
73;109;1
73;83;1
73;102;1
73;21;1
73;51;1
73;47;1
73;70;1
73;43;1
73;17;1
73;98;1
73;84;1
73;101;1
73;42;1
73;33;1
73;48;1
73;67;1
73;93;1
73;26;1
73;96;1
73;90;1
73;111;1
73;78;1
73;100;1
73;56;1
73;12;1
73;35;1
73;91;1
73;92;1
73;97;1
73;14;1
73;89;1
73;19;1
73;108;1
73;25;1
73;49;1
73;53;1
73;71;1
73;64;1
73;94;1
73;30;1
73;20;1
41;40;1
41;23;1
41;99;1
41;86;1
41;63;1
41;85;1
41;80;1
41;34;1
41;72;1
41;62;1
41;109;1
41;83;1
41;18;1
41;102;1
41;21;1
41;51;1
41;47;1
41;70;1
41;36;1
41;43;1
41;17;1
41;98;1
41;84;1
41;110;1
41;101;1
41;42;1
41;33;1
41;48;1
41;67;1
41;93;1
41;52;1
41;26;1
41;96;1
41;90;1
41;111;1
41;78;1
41;100;1
41;31;1
41;56;1
41;12;1
41;35;1
41;91;1
41;92;1
41;97;1
41;14;1
41;89;1
41;19;1
41;108;1
41;25;1
41;49;1
41;53;1
41;71;1
41;16;1
41;64;1
41;94;1
41;30;1
41;20;1
40;78;1
38;64;1
99;86;1
99;63;1
99;85;1
99;80;1
99;34;1
99;72;1
99;62;1
99;109;1
99;83;1
99;102;1
99;21;1
99;51;1
99;47;1
99;70;1
99;43;1
99;17;1
99;98;1
99;84;1
99;101;1
99;42;1
99;33;1
99;48;1
99;67;1
99;93;1
99;26;1
99;96;1
99;90;1
99;111;1
99;78;1
99;100;1
99;56;1
99;12;1
99;35;1
99;91;1
99;92;1
99;97;1
99;14;1
99;89;1
99;19;1
99;108;1
99;25;1
99;49;1
99;53;1
99;71;1
99;64;1
99;94;1
99;30;1
99;20;1
86;63;1
86;85;1
86;80;1
86;34;1
86;72;1
86;62;1
86;109;1
86;83;1
86;102;1
86;21;1
86;51;1
86;47;1
86;70;1
86;43;1
86;17;1
86;98;1
86;84;1
86;101;1
86;42;1
86;33;1
86;48;1
86;67;1
86;93;1
86;26;1
86;96;1
86;90;1
86;111;1
86;78;1
86;100;1
86;56;1
86;12;1
86;35;1
86;91;1
86;92;1
86;97;1
86;14;1
86;89;1
86;19;1
86;108;1
86;25;1
86;49;1
86;53;1
86;71;1
86;64;1
86;94;1
86;30;1
86;20;1
69;63;1
69;85;1
69;80;1
69;34;1
69;72;1
69;62;1
69;109;1
69;83;1
69;102;1
69;21;1
69;51;1
69;47;1
69;70;1
69;43;1
69;17;1
69;98;1
69;84;1
69;101;1
69;42;1
69;33;1
69;48;1
69;67;1
69;93;1
69;26;1
69;96;1
69;90;1
69;111;1
69;78;1
69;100;1
69;56;1
69;12;1
69;35;1
69;91;1
69;92;1
69;97;1
69;14;1
69;89;1
69;19;1
69;108;1
69;25;1
69;49;1
69;53;1
69;71;1
69;64;1
69;94;1
69;30;1
69;20;1
63;85;1
63;80;1
63;34;1
63;72;1
63;62;1
63;109;1
63;83;1
63;102;1
63;21;1
63;51;1
63;47;1
63;70;1
63;43;1
63;17;1
63;98;1
63;84;1
63;101;1
63;42;1
63;33;1
63;48;1
63;67;1
63;93;1
63;26;1
63;96;1
63;90;1
63;111;1
63;78;1
63;100;1
63;56;1
63;12;1
63;35;1
63;91;1
63;92;1
63;97;1
63;14;1
63;89;1
63;19;1
63;108;1
63;25;1
63;49;1
63;53;1
63;71;1
63;64;1
63;94;1
63;30;1
63;20;1
39;22;1
85;80;1
85;34;1
85;72;1
85;62;1
85;109;1
85;83;1
85;102;1
85;21;1
85;51;1
85;47;1
85;70;1
85;43;1
85;17;1
85;98;1
