a1;a2;weight
22;110;0
22;69;0
22;32;0
22;33;0
22;63;0
22;47;0.3032916897794265
22;71;0
22;82;0
22;36;0
22;44;0.17249137716677565
22;56;0.15399589353887222
22;51;0.21823156985963152
22;107;0
22;81;0.016238445493368392
22;101;0
22;70;0
22;102;0
22;30;0
22;95;0
22;20;0
22;16;0
22;13;0.20765315145225924
22;104;0
22;75;0
22;54;0
22;27;0
22;17;0.19141470595889085
22;41;0
22;15;0
22;91;0
22;94;0
22;48;0
22;14;0
22;85;0
22;83;0
22;46;0.4674348426597173
22;24;0
22;18;0
22;73;0
22;89;0
22;34;0
22;58;0
22;12;0
22;50;0
22;86;0
22;96;0
22;74;0.09175520413650222
22;92;0.2670458382179561
22;31;0
22;88;0
22;93;0
22;57;0
22;105;0
22;67;0
22;106;0
22;37;0
22;108;0
22;111;0
22;80;0
22;38;0
22;55;0
22;45;0
22;99;0
22;66;0
22;52;0
22;100;0.2434787400838475
22;77;0.15399589353887222
22;62;0
22;26;0
22;103;0.2751117314065411
22;87;0
22;109;0
22;84;0
22;40;0
22;97;0
22;60;0
22;98;0
22;79;0
22;42;0
22;59;0
22;29;0
22;43;0
22;64;0
22;65;0
22;61;0.2587756765876026
22;76;0.1828197227375161
22;49;0.01264911510017482
22;25;0.26169735113336184
22;53;0.12729777572018644
22;78;0
22;19;0
22;28;0
22;68;0
22;72;0
22;23;0
22;90;0
22;39;0
22;21;0
22;35;0
110;69;0.01993354676495196
110;32;0.01993354676495196
110;33;0.01993354676495196
110;63;0.01993354676495196
110;47;0.32322523654437846
110;71;0.01993354676495196
110;82;0
110;36;0.01993354676495196
110;44;0.1924249239317276
110;56;0.17392944030382418
110;51;0.23816511662458348
110;107;0.01993354676495196
110;81;0.03617199225832035
110;101;0.01993354676495196
110;70;0.01993354676495196
110;102;0.01993354676495196
110;30;0.01993354676495196
110;95;0.01993354676495196
110;20;0
110;16;0.01993354676495196
110;13;0.2275866982172112
110;104;0.01993354676495196
110;75;0.01993354676495196
110;54;0.01993354676495196
110;27;0.01993354676495196
110;17;0.2113482527238428
110;41;0.01993354676495196
110;15;0.01993354676495196
110;91;0.01993354676495196
110;94;0.01993354676495196
110;48;0.01993354676495196
110;14;0.01993354676495196
110;85;0.01993354676495196
110;83;0.01993354676495196
110;46;0.48736838942466926
110;24;0.01993354676495196
110;18;0.01993354676495196
110;73;0.01993354676495196
110;89;0.01993354676495196
110;34;0.01993354676495196
110;58;0.01993354676495196
110;12;0.01993354676495196
110;50;0.01993354676495196
110;86;0.01993354676495196
110;96;0.01993354676495196
110;74;0.11168875090145418
110;92;0.28697938498290804
110;31;0.01993354676495196
110;88;0.01993354676495196
110;93;0.01993354676495196
110;57;0.01993354676495196
110;105;0.01993354676495196
110;67;0.01993354676495196
110;106;0.01993354676495196
110;37;0.01993354676495196
110;108;0.01993354676495196
110;111;0.01993354676495196
110;80;0.01993354676495196
110;38;0.01993354676495196
110;55;0.01993354676495196
110;45;0.01993354676495196
110;99;0
110;66;0.01993354676495196
110;52;0.01993354676495196
110;100;0.26341228684879947
110;77;0.17392944030382418
110;62;0.01993354676495196
110;26;0.01993354676495196
110;103;0.29504527817149306
110;87;0.01993354676495196
110;109;0.01993354676495196
110;84;0.01993354676495196
110;40;0.01993354676495196
110;97;0.01993354676495196
110;60;0.01993354676495196
