a1;a2;weight
54;31;0.959004136875714
54;61;0.9737927385305511
54;25;0.9700699733346438
54;43;0.9836561385890221
54;28;0.9706724393020582
54;52;0.9719196367001421
54;58;0.9622996788158834
54;39;0.9836561385890221
54;45;0.9824687442752402
54;26;0.9706160614809348
54;34;0.9707104375778084
54;56;0.9835547886799453
54;23;0.9719196367001421
54;63;0.9744939298668253
54;27;0.9824687442752402
54;33;0.9785556124701603
54;53;0.9836561385890221
54;60;0.9826758523086474
54;62;0.9836561385890221
54;59;0.9836561385890221
54;30;0.9627693139279621
54;32;0.9838632466224292
54;35;0.9836561385890221
54;21;0.9552583995905293
54;29;0.9997928919665929
54;49;0.9836561385890221
54;24;0.9781609101264401
54;47;0.9836561385890221
54;64;0.9665798751504233
54;51;0.9783519331152413
54;50;0.975753013214926
54;66;0.9650888151566562
54;65;0.9792879669931331
54;69;0.9836561385890221
54;22;0.9836561385890221
54;57;0.9836561385890221
54;46;0.9836561385890221
54;38;0.9719196367001421
54;40;0.9783519331152413
54;37;0.9706160614809348
54;42;0.9836561385890221
54;67;0.9836561385890221
54;36;0.9835547886799453
54;20;0.9836561385890221
54;44;0.9662555173158384
54;48;0.9836561385890221
54;41;0.9836561385890221
54;55;0.9836561385890221
54;68;0.9835547886799453
31;61;0.9796800510290207
31;25;0.9864138347456218
31;43;0.9895434510874916
31;28;0.9765597518005278
31;52;0.9778069491986117
31;58;0.968186991314353
31;39;0.9895434510874916
31;45;0.9883560567737099
31;26;0.9765033739794045
31;34;0.976597750076278
31;56;0.9894421011784149
31;23;0.9778069491986117
31;63;0.9803812423652949
31;27;0.9883560567737099
31;33;0.98444292496863
31;53;0.9895434510874916
31;60;0.9883560567737099
31;62;0.9895434510874916
31;59;0.9895434510874916
31;30;0.9686566264264317
31;32;0.9895434510874916
31;35;0.9895434510874916
31;21;0.9762726528221843
31;29;0.9895434510874916
31;49;0.9895434510874916
31;24;0.9840482226249097
31;47;0.9895434510874916
31;64;0.972467187648893
31;51;0.9842392456137109
31;50;0.9816403257133955
31;66;0.9805011886352485
31;65;0.9851752794916027
31;69;0.9895434510874916
31;22;0.9895434510874916
31;57;0.9895434510874916
31;46;0.9895434510874916
31;38;0.9778069491986117
31;40;0.9842392456137109
31;37;0.9765033739794045
31;42;0.9895434510874916
31;67;0.9895434510874916
31;36;0.9894421011784149
31;20;0.9895434510874916
31;44;0.990136599941529
31;48;0.9895434510874916
31;41;0.9895434510874916
31;55;0.9895434510874916
31;68;0.9894421011784149
61;25;0.9673174439456883
61;43;0.9905444329057119
61;28;0.9679199099131025
61;52;0.9691671073111865
61;58;0.9690027165212158
61;39;0.9899458716523096
61;45;0.9797162148862847
61;26;0.9769057945442223
61;34;0.969901053754371
61;56;0.9808022592909897
61;23;0.9691671073111865
61;63;0.9717414004778697
61;27;0.9893570385919301
61;33;0.9758030830812047
61;53;0.9809036092000665
61;60;0.9887584773385278
61;62;0.9899458716523096
61;59;0.9809036092000665
61;30;0.969657608244652
61;32;0.9809036092000665
61;35;0.9809036092000665
61;21;0.9525058702015736
61;29;0.9809036092000665
61;49;0.9809036092000665
61;24;0.9809036092000665
61;47;0.9809036092000665
61;64;0.9638273457614678
61;51;0.9755994037262856
61;50;0.9730004838259704
61;66;0.9623362857677007
61;65;0.9905444329057119
61;69;0.9905444329057119
61;22;0.9809036092000665
61;57;0.9809036092000665
61;46;0.9809036092000665
61;38;0.9691671073111865
61;40;0.9755994037262856
61;37;0.9678635320919792
61;42;0.9809036092000665
61;67;0.9809036092000665
61;36;0.9808022592909897
61;20;0.9809036092000665
61;44;0.9733663879853537
61;48;0.9809036092000665
61;41;0.9809036092000665
61;55;0.9899458716523096
61;68;0.9808022592909897
25;43;0.9937117535994759
25;28;0.980728054312512
25;52;0.981975251710596
25;58;0.9723552938263372
25;39;0.9937117535994759
25;45;0.9925243592856942
25;26;0.9806716764913886
25;34;0.9807660525882622
25;56;0.9936104036903991
25;23;0.981975251710596
25;63;0.9845495448772792
25;27;0.9925243592856942
25;33;0.9886112274806141
25;53;0.9937117535994759
25;60;0.9925243592856942
25;62;0.9937117535994759
25;59;0.9937117535994759
25;30;0.9728249289384159
25;32;0.9937117535994759
25;35;0.9937117535994759
25;21;0.9653140146009831
25;29;0.9937117535994759
25;49;0.9937117535994759
25;24;0.988216525136894
25;47;0.9937117535994759
25;64;0.9766354901608773
25;51;0.9896297902447929
25;50;0.9858086282253798
25;66;0.9751444301671102
25;65;0.989343582003587
25;69;0.9937117535994759
25;22;0.9937117535994759
25;57;0.9937117535994759
25;46;0.9937117535994759
25;38;0.981975251710596
25;40;0.9884075481256951
25;37;0.9806716764913886
25;42;0.9937117535994759
25;67;0.9937117535994759
25;36;0.9936104036903991
25;20;0.9937117535994759
25;44;0.980865092320297
25;48;0.9937117535994759
25;41;0.9937117535994759
25;55;0.9937117535994759
25;68;0.9936104036903991
43;28;0.9646410696058332
43;52;0.9658882670039171
43;58;0.9562683091196584
43;39;0.977624768892797
43;45;0.9764373745790152
43;26;0.9645846917847098
43;34;0.9646790678815834
43;56;0.9775234189837203
43;23;0.9658882670039171
43;63;0.9684625601706003
43;27;0.9860781982846607
43;33;0.9725242427739353
43;53;0.977624768892797
43;60;0.9764373745790152
43;62;0.977624768892797
43;59;0.977624768892797
43;30;0.9663787679373825
43;32;0.977624768892797
43;35;0.977624768892797
43;21;0.9492270298943042
43;29;0.977624768892797
43;49;0.977624768892797
43;24;0.972129540430215
43;47;0.977624768892797
43;64;0.9605485054541983
43;51;0.9723205634190163
43;50;0.9697216435187009
43;66;0.9590574454604313
43;65;0.9828974210025536
43;69;0.9872655925984426
43;22;0.977624768892797
43;57;0.977624768892797
43;46;0.977624768892797
43;38;0.9658882670039171
43;40;0.9723205634190163
43;37;0.9645846917847098
43;42;0.977624768892797
43;67;0.977624768892797
43;36;0.9775234189837203
43;20;0.977624768892797
43;44;0.9602241476196134
43;48;0.977624768892797
43;41;0.977624768892797
43;55;0.977624768892797
43;68;0.9775234189837203
28;52;0.98826349811112
28;58;0.9786435402268613
28;39;1
28;45;0.9988126056862182
28;26;0.9869599228919127
28;34;0.9870542989887864
28;56;0.9998986500909233
28;23;0.98826349811112
28;63;0.9908377912778032
28;27;0.9988126056862182
28;33;0.9948994738811382
28;53;1
28;60;0.9988126056862182
28;62;1
28;59;1
28;30;0.9920968746259039
28;32;1
28;35;1
28;21;0.9716022610015072
28;29;1
28;49;1
28;24;0.994504771537418
28;47;1
28;64;0.9829237365614013
28;51;0.9946957945262191
28;50;0.9920968746259039
28;66;0.9814326765676342
28;65;0.995631828404111
28;69;1
28;22;1
28;57;1
28;46;1
28;38;0.98826349811112
28;40;0.9946957945262191
28;37;0.9869599228919127
28;42;1
28;67;1
28;36;0.9998986500909233
28;20;1
28;44;0.9825993787268164
28;48;1
28;41;1
28;55;1
28;68;0.9998986500909233
52;58;0.9497872720114154
52;39;0.9711437317845542
52;45;0.9699563374707724
52;26;0.9581036546764669
52;34;0.9581980307733405
52;56;0.9710423818754774
52;23;0.9711437317845542
52;63;0.9786049157383279
52;27;0.9699563374707724
52;33;0.9711437317845542
52;53;0.9711437317845542
52;60;0.9699563374707724
52;62;0.9711437317845542
52;59;0.9711437317845542
52;30;0.9502569071234941
52;32;0.9711437317845542
52;35;0.9711437317845542
52;21;0.9427459927860613
52;29;0.9711437317845542
52;49;0.9711437317845542
52;24;0.9656485033219722
52;47;0.9711437317845542
52;64;0.9706908610219258
52;51;0.9658395263107733
52;50;0.9632406064104581
52;66;0.9748335185658955
52;65;0.9667755601886652
52;69;0.9711437317845542
52;22;0.9711437317845542
52;57;0.9711437317845542
52;46;0.9711437317845542
52;38;0.9711437317845542
52;40;0.9658395263107733
52;37;0.9581036546764669
52;42;0.9711437317845542
52;67;0.9711437317845542
52;36;0.9710423818754774
52;20;0.9711437317845542
52;44;0.9604750303262001
52;48;0.9711437317845542
52;41;0.9711437317845542
52;55;0.9711437317845542
52;68;0.9710423818754774
58;39;0.972329554041537
58;45;0.9620998972755119
58;26;0.9592894769334497
58;34;0.9503415905780801
58;56;0.963185941680217
58;23;0.9515507897004138
58;63;0.9541250828670971
58;27;0.9620998972755119
58;33;0.958186765470432
58;53;0.9632872915892938
58;60;0.9711421597277551
58;62;0.9870542989887864
58;59;0.9632872915892938
58;30;0.9424004669282338
58;32;0.9632872915892938
58;35;0.9632872915892938
58;21;0.934889552590801
58;29;0.9632872915892938
58;49;0.9632872915892938
58;24;0.9577920631267118
58;47;0.9632872915892938
58;64;0.946211028150695
58;51;0.957983086115513
58;50;0.9553841662151977
58;66;0.9594447131041773
58;65;0.9589191199934048
58;69;0.9632872915892938
